Mánaðarmeðaltöl fyrir stöð 957 - Reykir í Ölfusi,,,,,,,,,,,,,,,,,
stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
957,1971,10,4.1,6.5,12.1,5,1.9,-7,13,NA,162.7,24.9,5,NA,5.6,NA,4.8
957,1971,11,0.1,3.1,9.5,10,-2.5,-10.7,17,NA,138,21.8,1,NA,5.6,NA,3.4
957,1971,12,0,3.1,7.5,5,-2.8,-10,13,NA,113.4,20.1,31,NA,6.7,NA,3
957,1972,1,2.8,4.7,8,16,0.8,-8.9,24,NA,138.5,19.7,22,NA,6.5,NA,5.4
957,1972,2,2.6,4.4,7.7,20,0.5,-9.4,15,NA,227.2,104,23,NA,6.3,NA,3.5
957,1972,3,2.3,4.3,7.7,16,0,-3.5,29,NA,181.3,32,3,NA,5.1,NA,4.7
957,1972,4,3.2,6.2,13.3,20,0.7,-6.5,8,NA,147.3,32,12,NA,5.8,NA,3.6
957,1972,5,7.5,10.4,14.8,25,5.2,-3.6,1,NA,91,25.6,16,NA,5.9,NA,4.1
957,1972,6,8.9,12.4,16,12,6.2,2.1,16,NA,115.6,26.7,14,NA,5.1,NA,3
957,1972,7,9.7,12.1,16,1,8,6.3,23,NA,143.4,24.1,27,NA,6.3,NA,3.2
957,1972,8,9.1,12,17.3,12,6.8,4.4,17,NA,141.7,26.2,19,NA,5.3,149.7,4.4
957,1972,9,7.7,10,12.4,23,5.4,0.8,9,NA,203.1,44.9,15,NA,5.8,86.8,4
957,1972,10,4.5,6.5,9.3,12,1.9,-2.3,23,NA,172.7,43.2,28,NA,5.8,66.4,5.6
957,1972,11,0.2,2.3,7.5,6,-1.8,-8.4,22,NA,94.5,14.6,4,NA,5.1,49.2,4.8
957,1972,12,1.4,3.8,10.7,17,-0.5,-4.5,28,NA,146.5,23.5,25,NA,5.5,22.1,6
957,1973,1,2.8,4.7,8.5,10,0.8,-5.2,26,NA,217.3,29.8,5,NA,6.3,9.9,5.1
957,1973,2,-2,1,7.5,3,-4.8,-12,24,NA,170,38.9,11,NA,5.6,45.1,5.5
957,1973,3,1.3,3.9,7.8,18,-0.8,-9.6,30,NA,184.4,35.5,21,NA,6.2,71.5,3.3
957,1973,4,2.8,5.1,9.9,23,0.5,-10.5,2,NA,49.3,8.9,4,NA,5.9,122.4,3
957,1973,5,4.8,8.3,12.9,20,1.6,-4,2,NA,64,20.4,16,NA,4.8,233.6,4.9
957,1973,6,7.4,10.4,13,28,4.4,-0.4,1,NA,139.5,39.1,16,NA,6.1,143.1,5.2
957,1973,7,10.3,13.5,19.4,22,7.9,4.9,1,NA,125.6,32.5,12,NA,5.7,166.3,3.7
957,1973,8,9.6,12.7,15,16,7.3,3.3,21,NA,172.8,26.3,25,NA,6.1,132.4,4.3
957,1973,9,8.3,10.9,14.4,4,6,2,29,NA,134,19.4,13,NA,6.1,90.6,4.4
957,1973,10,4.2,6.5,11.4,6,1.7,-5,17,NA,277.4,51,30,NA,5.4,62.7,4.7
957,1973,11,-1.6,1.9,7.8,6,-5,-11.6,24,NA,176.2,84.5,7,NA,5.3,62.7,5.3
957,1973,12,-4,-0.8,6.3,2,-7.2,-16.5,17,NA,83.8,21.5,2,NA,5.2,27,7.2
957,1974,1,1.4,3.8,7,19,-1.4,-7.4,1,NA,153.4,23,23,NA,6.2,6.5,5.9
957,1974,2,-0.3,1.8,7,17,-2.5,-9.3,9,NA,133.8,23.3,18,NA,4.4,77.1,6.8
957,1974,3,4.1,5.8,8.4,30,1.4,-6.6,2,NA,197,48.1,6,NA,6.5,46.8,5.6
957,1974,4,6.1,7.5,10.1,30,4.4,-0.9,3,NA,190.4,51.8,8,NA,7.5,29.8,4.8
957,1974,5,7.7,10.8,17,23,5.7,1.9,8,NA,78.5,23.7,31,NA,6.2,123.6,4.5
957,1974,6,9.1,12.5,18.2,24,7,3.5,8,NA,118.6,26.9,12,NA,5.9,151.1,4
957,1974,7,11.1,14.3,18.2,13,8.5,6.3,24,NA,43.4,15.4,18,NA,4.9,199.6,4.4
957,1974,8,9.8,13,17.6,13,7.9,3.5,27,NA,132.1,52.5,25,NA,6.1,129.9,5.3
957,1974,9,5.8,8.6,14.5,4,3.4,-4.1,29,NA,120.4,24.6,13,NA,5.3,120.8,6.2
957,1974,10,4.5,6.5,10.2,13,1.8,-6.5,28,NA,306,101.5,23,NA,5.9,67.3,4.2
957,1974,11,2.6,4.6,9.2,4,0.3,-4,17,NA,104.3,45.8,5,NA,5.3,40.3,4.8
957,1974,12,-2.4,0.4,5.8,30,-4.7,-11.1,12,NA,84.6,13.4,8,NA,5.8,7.8,6.1
957,1975,1,-2.3,0.2,6.6,2,-4.7,-8.2,6,NA,65.4,23.4,5,NA,5.5,23.4,7.2
957,1975,2,3.3,4.9,7.4,28,1,-3.5,13,NA,155.1,51,27,NA,6.8,15,4.4
957,1975,3,0.6,3.2,8.2,19,-2.5,-12.5,25,NA,114.1,38.6,12,NA,5.2,109.1,4.1
957,1975,4,2.4,5.3,12.2,20,-0.1,-14.5,12,NA,112.7,24.7,10,NA,5.6,154.8,4.8
957,1975,5,6,9.4,18.5,28,3.1,-4.9,11,NA,144.6,46.1,5,NA,4.9,212.8,4
957,1975,6,7.3,10.1,15.6,9,5.5,-0.6,2,NA,154.2,36.6,28,NA,6.5,113.9,4.2
957,1975,7,9.4,12.1,17,24,7.5,5,24,NA,95.4,26,17,NA,6.1,149.7,3.4
957,1975,8,10.3,13.2,20.5,6,8.5,5.4,21,NA,197.9,33,23,NA,7,90.8,3
957,1975,9,5.6,8.4,14.2,4,3.5,-1.6,25,NA,198.3,44.2,8,NA,4.6,148.6,4
957,1975,10,6.7,8.4,13.5,9,4.7,0.8,6,NA,175.9,39.6,11,NA,6.7,50.9,4.4
957,1975,11,1.9,4.2,10.2,21,-0.4,-6.2,16,NA,237.5,42,7,NA,5.7,33.1,4.9
957,1975,12,-0.9,2.4,8.2,13,-4.2,-11,16,NA,202.8,33.2,10,NA,6.4,11.2,4.2
957,1976,1,-2.5,0.2,6,31,-5.3,-12.4,22,NA,155.7,38.4,17,NA,6,20.8,4.2
957,1976,2,0.1,2.8,7.7,20,-2.6,-9.8,29,NA,178.6,27.1,5,NA,6.4,21.6,5
957,1976,3,1.4,3.6,7.9,2,-1,-9.8,1,NA,183.4,24.3,20,NA,6.6,83.7,6.3
957,1976,4,2.7,5.1,10.5,21,0.1,-7.5,11,NA,92,21,10,NA,6.8,80,4.1
957,1976,5,5.9,9,14.2,28,3.6,-5.5,4,NA,139.1,28,24,NA,5.8,168.3,4
957,1976,6,9,11.7,17.6,18,7,3.5,6,NA,138.6,26.9,3,NA,6.3,145.1,3.7
957,1976,7,11.5,14.7,23.3,9,9.3,6.2,2,NA,91.9,23.7,4,NA,6.6,132.5,2.7
957,1976,8,9,11.2,14,2,7.3,4.4,30,NA,377.5,75,28,NA,6.9,73.7,3.9
957,1976,9,8.6,11.4,16.5,23,6.3,1,9,NA,93.1,23.6,20,NA,5.7,123.8,3.6
957,1976,10,6.2,8.1,12.9,3,4.3,-0.2,17,NA,92.5,12.6,30,NA,6,71.9,5.5
957,1976,11,3.3,5.2,8.8,1,1.1,-6.5,30,NA,145.2,39.1,24,NA,5.5,43.1,5.5
957,1976,12,-1.6,1.2,8.2,11,-3.8,-12,31,NA,34.7,12.9,14,NA,3.9,38.9,5.1
957,1977,1,-1.3,0.7,7,3,-3.5,-10.5,12,NA,75.4,31.9,3,NA,4.1,70.2,7
957,1977,2,1.3,2.7,5.8,10,-0.5,-6.1,3,NA,22.4,14,18,NA,4.2,100.8,5.6
957,1977,3,3.4,5.8,9,7,1.3,-5.7,31,NA,84,21.5,7,NA,5.8,103.8,4.5
957,1977,4,1.6,4.4,7.8,8,-0.7,-6.9,2,NA,103.1,20,15,NA,5.2,177.3,4
957,1977,5,6.2,9.2,14.6,27,4,-1.6,12,NA,106.6,48.5,23,NA,6.4,116.3,4.1
957,1977,6,8.3,11.3,15,27,5.8,0.1,7,NA,214.6,68.5,22,NA,5.8,184,3.7
957,1977,7,11.2,13.9,21,20,9.2,7.8,30,NA,136.3,15.6,15,NA,6.6,105.2,2.5
957,1977,8,10.4,13,19,14,8.3,4.1,31,NA,106,27.6,11,NA,6.1,121.9,4.6
957,1977,9,7.2,9.5,12.5,4,5.1,0.5,9,NA,143.8,52.5,13,NA,6.3,90.6,5.1
957,1977,10,5.6,7.8,13.6,14,3.5,-2.2,31,NA,137.5,25.2,27,NA,5.6,85,5.1
957,1977,11,-0.6,1.8,7.5,26,-3.5,-10.6,20,NA,74.1,18.4,29,NA,5.1,63.5,6.8
957,1977,12,1.5,4.2,9.2,4,-1,-14.7,18,NA,137,18.8,16,NA,6.7,6.8,7.3
957,1978,1,-1.6,0.6,5.6,12,-4.2,-11.4,28,NA,148.4,31,19,NA,5.6,25.6,4.9
957,1978,2,-0.3,1.2,6.8,5,-2.2,-9.2,13,NA,21.1,7.9,8,NA,6.3,51.1,7.2
957,1978,3,1.6,3.2,7,9,-0.7,-7.4,3,NA,94.5,16.5,18,NA,5.8,78.8,5.5
957,1978,4,3.8,6.4,10.4,17,1.3,-9,9,NA,66.2,17.5,29,NA,6,132.7,3.5
957,1978,5,5.8,8.4,12.9,7,3.3,-1.4,3,NA,123.8,31.1,20,NA,6.5,130.8,4.5
957,1978,6,7.6,10.6,14.3,24,5.3,1.6,22,NA,101.6,13.9,4,NA,6.1,174.5,2.8
957,1978,7,11.3,14.8,18.6,4,8.7,6.3,1,NA,40.2,20.2,1,NA,5.7,167.6,2.9
957,1978,8,11.1,13.4,17.2,14,9.2,5.5,16,NA,116.3,24.4,30,NA,6.4,72.3,2.1
957,1978,9,7.9,10.9,14.9,21,5.5,-1.2,30,NA,78.6,18.1,13,NA,5.7,131.6,3.1
957,1978,10,4.2,6.4,9.7,17,1.2,-6,1,NA,239.9,41.6,27,NA,6.2,69.2,4
957,1978,11,0.1,2.9,8.6,7,-2.9,-11.7,26,NA,241.1,67,29,NA,6.7,29.2,4.1
957,1978,12,1.9,3.9,10.4,12,-0.2,-8.5,22,NA,46.7,7.2,17,NA,5.3,23.6,4.1
957,1979,1,-4.1,-0.8,5.2,18,-6.7,-16.2,31,NA,51.6,14.9,5,NA,5,48.2,4.3
957,1979,2,0.4,2.5,7.5,24,-2.4,-11.6,28,NA,124.8,32.6,24,NA,6.3,41.5,5.1
957,1979,3,-3.8,-1.1,5,18,-7.2,-13.2,24,NA,31.1,9.9,8,NA,3.6,188,3.6
957,1979,4,2.2,5,9,25,-0.5,-7.8,1,NA,77,31.2,19,NA,5.2,167.4,4.4
957,1979,5,2.3,5.7,12.3,24,-0.9,-7,1,NA,17.4,11.3,13,NA,4.7,216.5,3.2
957,1979,6,8.1,11.2,17.7,3,5.7,2.5,14,NA,192.4,42,11,NA,6.4,130,2.6
957,1979,7,9.6,13.1,20.3,24,7,4.7,11,NA,72.6,13.1,3,NA,5.8,142.5,2.5
957,1979,8,10,13.6,18,6,7.5,5,6,NA,73.9,31.2,12,NA,5.3,158.6,2.2
957,1979,9,5.5,8.2,11.8,4,3,-2.5,26,NA,208.4,43,30,NA,5.8,92.8,3.3
957,1979,10,5,7,12.8,1,3,-2.2,29,NA,182.9,24,19,NA,6,83.8,4.7
957,1979,11,1.1,2.8,7.4,20,-0.9,-6.5,26,NA,161.7,35.8,20,NA,6,44.6,4.1
957,1979,12,0.1,2.2,6.7,20,-2.2,-9,27,NA,139.8,25,20,NA,6.1,11.4,3.4
957,1980,1,0.1,NA,NA,NA,-2.1,-8,1,NA,117.8,24.6,12,NA,4.9,45.1,4.1
957,1980,2,1.9,4,8,23,-0.4,-8.6,2,NA,168.2,27,23,NA,6.4,48.5,4.3
957,1980,3,0.8,3.1,7.8,29,-1.6,-7.2,20,NA,98.7,21.2,15,NA,5.4,129.9,3.4
957,1980,4,3.4,5.6,9,30,0.8,-3.9,11,NA,221.1,87,4,NA,6.6,100.5,2.9
957,1980,5,6.5,9.4,13.2,30,4.6,-3.6,8,NA,165.6,39,16,NA,6,144.6,2.8
957,1980,6,9.8,13.6,19,10,7.5,5.4,4,NA,38.7,14.4,18,NA,5.1,222.6,1.9
957,1980,7,10.8,13.9,23.7,30,8.7,5.9,24,NA,57.6,18,11,NA,6.5,138,2.3
957,1980,8,10.7,13.7,18.9,1,8.2,4.1,21,NA,164.4,47.8,12,NA,5.9,133.4,2.2
957,1980,9,8.3,11.1,14.4,22,5.8,2.5,17,NA,121.2,20.8,23,NA,5.8,100.5,2
957,1980,10,2.1,4.3,9.6,1,0,-7.5,19,NA,99.8,24.5,31,NA,5.2,117.3,4.2
957,1980,11,0.8,3,8.5,3,-1.6,-9,15,NA,103.4,59,30,NA,5.2,56.3,3.7
957,1980,12,-1.6,1.2,7.3,5,-3.9,-13.8,18,NA,0,0,1,NA,NA,12.4,NA
957,1981,1,-2.3,0.7,5.4,7,-5.7,-14.4,15,NA,188.9,35.3,7,NA,NA,16.8,NA
957,1981,2,-1.1,1.9,6.6,27,-4.1,-11.2,10,NA,128.7,18,27,NA,6.4,47.6,NA
957,1981,3,-0.8,1.4,8,27,-3,-11.2,21,NA,102.3,25.5,11,NA,5.6,118.8,5.1
957,1981,4,4,6.8,15.1,18,1.5,-7,23,NA,137.5,20.1,27,NA,5.7,134.4,2.2
957,1981,5,6.7,10.2,16.5,17,4.2,-4.3,8,NA,103.8,38.3,30,NA,5.7,158,1.7
957,1981,6,8.4,11.7,16.4,3,6.2,2.1,6,NA,109.6,18.3,21,NA,6.3,118.3,1.9
957,1981,7,10.1,13.3,16.2,5,8,4.4,31,NA,69.6,25,25,NA,5.7,162.4,2.7
957,1981,8,10.3,12.8,17.5,1,8.3,4.9,16,NA,217.7,26.2,10,NA,6.2,110.5,3.5
957,1981,9,7.4,10.4,16.3,15,5.2,-0.9,30,NA,98.4,41,2,NA,5.1,124.3,3.3
957,1981,10,0.9,3.2,6,22,-1.2,-5.6,13,NA,57.6,15.5,24,NA,4,142.9,NA
957,1981,11,0,2.4,10,7,-2.2,-11.2,19,NA,71,13,8,NA,6.3,26.1,3.9
957,1981,12,-1.7,0.2,8.4,26,-4,-11.5,8,NA,98.2,42.6,2,NA,4.2,34.1,4.6
957,1982,1,-1,1.5,6,23,-3.4,-12.6,6,NA,112.7,22.1,25,NA,5.6,27.3,3.4
957,1982,2,2.3,4.1,9,4,-0.2,-5.6,8,NA,196.1,26,17,NA,6.6,23.9,5
957,1982,3,0.5,2.4,7.4,23,-2.1,-7.3,3,NA,174.5,31.9,30,NA,5.8,91.4,3.5
957,1982,4,3,5.7,8.7,18,0.5,-6.2,30,NA,130.2,23.9,24,NA,6.1,112.2,2.6
957,1982,5,5.2,8.2,12.6,22,2.8,-7.3,5,NA,87.1,23.5,28,NA,5.5,136.4,2.7
957,1982,6,9.4,12.2,17.2,6,7.2,4.5,1,NA,76.2,26,3,NA,6,122.7,1.7
957,1982,7,10.7,13.4,18.2,2,9.3,6.5,20,NA,160.1,35.2,23,NA,6.9,92.5,3.6
957,1982,8,9.3,12.8,16.5,20,7.7,1.5,30,NA,116.6,22.4,15,NA,5.8,150.2,3.7
957,1982,9,5.8,8.8,11.1,30,3.3,-1.7,22,NA,128.2,30.8,14,NA,5.6,145.5,4
957,1982,10,5.1,6.9,10.4,12,3.3,-1.4,25,NA,104,28.3,24,NA,6,47.7,3.6
957,1982,11,-0.1,1.9,10.2,5,-2.3,-7.2,17,NA,162.5,44.6,4,NA,5.2,43.5,5.2
957,1982,12,-1.6,1.1,5.5,7,-4.4,-12.2,18,NA,109.2,15.6,29,NA,5.5,8.2,5.6
957,1983,1,-2.2,0.3,6.4,23,-4.8,-9.7,16,NA,216,51.8,22,NA,6.6,3.2,6.7
957,1983,2,1,2.9,7.6,26,-1.9,-9.8,2,NA,99.1,13.4,18,NA,6.5,18.4,5.3
957,1983,3,-0.6,1.5,7.2,1,-3,-10.5,10,NA,192.7,41.2,1,NA,6.6,67,5.8
957,1983,4,-0.4,2.3,7.4,28,-2.9,-8.3,8,NA,54.5,20.8,13,NA,5,161.1,5
957,1983,5,6.1,9.6,14.6,29,4,0.5,7,NA,36.8,8,17,NA,5.3,169.2,3.8
957,1983,6,7.8,10.5,15.4,29,6,1.5,1,NA,300.4,64.6,24,NA,6.4,106.9,4.3
957,1983,7,8.5,10.8,14.4,7,6.5,2.6,18,NA,245.6,77.4,20,NA,6.6,102.3,4.5
957,1983,8,8.1,10.5,13.8,1,6.5,2.9,30,NA,295.7,48,24,NA,6.6,73.8,3.8
957,1983,9,6.4,9.6,12.7,13,4.5,0.5,28,NA,57.6,20,25,NA,4.9,129,3.4
957,1983,10,3.6,5.8,10.2,4,1.5,-5,20,NA,187.6,36.4,30,NA,5.9,74.8,5.6
957,1983,11,1.4,3.3,9,12,-0.6,-8.1,20,NA,84,15,13,NA,5.9,28.7,4.6
957,1983,12,-0.1,2.5,8.7,1,-2.5,-8.3,22,NA,173.4,65.6,7,NA,5.6,9.3,5.3
957,1984,1,-3,-0.6,6.3,28,-5.9,-12.1,18,NA,85.4,16.7,5,NA,5.5,12.3,5.3
957,1984,2,-0.2,1.6,6.2,24,-2.7,-8.3,29,NA,201.1,37.2,24,NA,6.6,14.7,4.4
957,1984,3,1.1,2.5,6.8,14,-1.4,-9.3,1,NA,112.5,14.2,28,NA,6.2,80.3,4.6
957,1984,4,2.6,4.6,9.8,25,0.5,-5.6,12,NA,267.5,83.7,24,NA,6.4,90,4.1
957,1984,5,5.3,7.7,12.1,27,3.5,-1.7,4,NA,163.2,23.3,8,NA,6.4,122.1,3.5
957,1984,6,9.5,12.8,18.7,6,7.3,3.9,22,NA,142.9,37.7,17,NA,5.6,168,3
957,1984,7,11.1,13.6,20,9,9.4,7.4,20,NA,266.5,45.8,18,NA,6.9,84.4,2.7
957,1984,8,9.9,12.3,16.6,23,7.9,4.4,29,NA,292.5,82.6,10,NA,6.6,87.2,3
957,1984,9,7.4,10.4,13.4,4,5.2,1.5,11,NA,142.2,35.5,6,NA,5.3,127.2,3.7
957,1984,10,4,5.6,10.1,15,2.1,-0.2,11,NA,99.3,23.5,8,NA,5.4,83.3,3.8
957,1984,11,2,3.8,7.3,17,0.2,-5,3,NA,92.1,31.3,27,NA,5.1,50.5,4.2
957,1984,12,0.8,3,7.9,11,-1.5,-5.1,25,NA,157.7,18.2,16,NA,5.8,16.1,4.9
957,1985,1,0.2,2.1,8,12,-1.6,-11.1,31,NA,120.6,36.1,12,NA,5.3,27,5.9
957,1985,2,1.2,2.8,8.8,28,-0.9,-12,1,NA,83.6,14.4,22,NA,5.7,33.3,4.3
957,1985,3,-0.4,1.9,8.4,1,-2.8,-12,28,NA,123.3,35,1,NA,5.1,133.6,4.8
957,1985,4,3.6,6.1,10.7,5,1,-6.2,1,NA,78.6,14.9,16,NA,6.1,106.5,3.4
957,1985,5,6.5,9.8,18.3,21,4,-0.9,24,NA,39.7,5.8,3,NA,5.4,197.9,3.4
957,1985,6,9.4,12.5,17,27,7,4,3,NA,54.5,11.6,1,NA,6,145.8,2.5
957,1985,7,10.2,13.1,16.8,22,7.5,2.1,8,NA,70.9,23.9,9,NA,5.6,180.3,3.9
957,1985,8,10.6,14.3,18.4,13,8.6,0.9,31,NA,23,9.6,27,NA,5.3,167.9,3.3
957,1985,9,6.8,9.6,11.8,9,4.6,-0.9,21,NA,101.1,13,17,NA,5.3,123.7,3
957,1985,10,6.4,8.4,12.5,3,4.2,-3.7,9,NA,272.8,63.4,15,NA,6.4,58.4,4.4
957,1985,11,0.1,2.2,7.3,21,-2.1,-10,9,NA,127.3,23.3,16,NA,5.8,34.7,5.2
957,1985,12,-1.4,0.4,4.4,10,-2.8,-9.8,27,NA,38.8,13.6,18,NA,5.1,25.3,6
957,1986,1,-0.4,2,6,26,-2.6,-11.1,24,NA,111,19.3,5,NA,5.5,16.9,5.7
957,1986,2,1.6,3.6,7.4,12,-0.5,-8.3,21,NA,128.9,42.5,13,NA,6,55.3,4.4
957,1986,3,0.4,2.5,7.5,12,-1.7,-7.4,25,NA,189.3,30.6,11,NA,5.9,97,4.8
957,1986,4,3.3,5.5,10.7,21,1.2,-8.4,15,NA,80.7,15.7,25,NA,5.7,137,3.4
